REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
SA1,2020/02/01 00:30:00,1783.14,299.20,TRADE
SA1,2020/02/01 01:00:00,1691.6,330.87,TRADE
SA1,2020/02/01 01:30:00,1607.14,431.01,TRADE
SA1,2020/02/01 02:00:00,1548.01,344.69,TRADE
SA1,2020/02/01 02:30:00,1500.68,399.74,TRADE
SA1,2020/02/01 03:00:00,1454.08,106.56,TRADE
SA1,2020/02/01 03:30:00,1469.96,87,TRADE
SA1,2020/02/01 04:00:00,1465.16,69.41,TRADE
SA1,2020/02/01 04:30:00,1418.75,123.72,TRADE
SA1,2020/02/01 05:00:00,1396.27,84.64,TRADE
SA1,2020/02/01 05:30:00,1405.91,-83.69,TRADE
SA1,2020/02/01 06:00:00,1412.32,85.97,TRADE
SA1,2020/02/01 06:30:00,1438.73,107.12,TRADE
SA1,2020/02/01 07:00:00,1461.52,231.50,TRADE
SA1,2020/02/01 07:30:00,1440.26,198.21,TRADE
SA1,2020/02/01 08:00:00,1398,109.21,TRADE
SA1,2020/02/01 08:30:00,1424.46,144.79,TRADE
SA1,2020/02/01 09:00:00,1427.9,98.21,TRADE
SA1,2020/02/01 09:30:00,1433.81,157.88,TRADE
SA1,2020/02/01 10:00:00,1378.14,152.04,TRADE
SA1,2020/02/01 10:30:00,1354.57,198.56,TRADE
SA1,2020/02/01 11:00:00,1326.11,107.69,TRADE
SA1,2020/02/01 11:30:00,1279,106.11,TRADE
SA1,2020/02/01 12:00:00,1265.71,91.37,TRADE
SA1,2020/02/01 12:30:00,1269.41,162.52,TRADE
SA1,2020/02/01 13:00:00,1240.48,95.23,TRADE
SA1,2020/02/01 13:30:00,1209.04,74.37,TRADE
SA1,2020/02/01 14:00:00,1193.03,75.25,TRADE
SA1,2020/02/01 14:30:00,1190.74,-184.16,TRADE
SA1,2020/02/01 15:00:00,1205.31,-138.36,TRADE
SA1,2020/02/01 15:30:00,1241.87,-526.27,TRADE
SA1,2020/02/01 16:00:00,1294.03,-258.47,TRADE
SA1,2020/02/01 16:30:00,1323.25,-232.27,TRADE
SA1,2020/02/01 17:00:00,1318.77,-122.71,TRADE
SA1,2020/02/01 17:30:00,1275.73,-88.75,TRADE
SA1,2020/02/01 18:00:00,1264.02,-98.41,TRADE
SA1,2020/02/01 18:30:00,1263.12,17,TRADE
SA1,2020/02/01 19:00:00,1271.02,119.01,TRADE
SA1,2020/02/01 19:30:00,1271.6,22.83,TRADE
SA1,2020/02/01 20:00:00,1318.01,85.43,TRADE
SA1,2020/02/01 20:30:00,1332.22,113.47,TRADE
SA1,2020/02/01 21:00:00,1315.54,116.98,TRADE
SA1,2020/02/01 21:30:00,1255.57,87.88,TRADE
SA1,2020/02/01 22:00:00,1221.9,70.38,TRADE
SA1,2020/02/01 22:30:00,1176.97,52.63,TRADE
SA1,2020/02/01 23:00:00,1163.72,40.14,TRADE
SA1,2020/02/01 23:30:00,1138.8,0,TRADE
SA1,2020/02/02 00:00:00,1304.8,45.05,TRADE
SA1,2020/02/02 00:30:00,1288.47,8.36,TRADE
SA1,2020/02/02 01:00:00,1230.31,-131.50,TRADE
SA1,2020/02/02 01:30:00,1172.56,-0.57,TRADE
SA1,2020/02/02 02:00:00,1137.24,-161.56,TRADE
SA1,2020/02/02 02:30:00,1120.42,-192.06,TRADE
SA1,2020/02/02 03:00:00,1122.33,-171.59,TRADE
SA1,2020/02/02 03:30:00,1090.38,-4.64,TRADE
SA1,2020/02/02 04:00:00,1054.41,11.35,TRADE
SA1,2020/02/02 04:30:00,1034.33,99.54,TRADE
SA1,2020/02/02 05:00:00,1003.94,64.88,TRADE
SA1,2020/02/02 05:30:00,1000.31,62.39,TRADE
SA1,2020/02/02 06:00:00,1011.17,49.85,TRADE
SA1,2020/02/02 06:30:00,1016.78,38.38,TRADE
SA1,2020/02/02 07:00:00,1029.77,52.81,TRADE
SA1,2020/02/02 07:30:00,1008.22,44.77,TRADE
SA1,2020/02/02 08:00:00,966.28,43.77,TRADE
SA1,2020/02/02 08:30:00,885.63,-332.92,TRADE
SA1,2020/02/02 09:00:00,837.95,-383.33,TRADE
SA1,2020/02/02 09:30:00,809.78,-100.14,TRADE
SA1,2020/02/02 10:00:00,776.82,-612.43,TRADE
SA1,2020/02/02 10:30:00,772.52,-566.42,TRADE
SA1,2020/02/02 11:00:00,749.17,-773.31,TRADE
SA1,2020/02/02 11:30:00,827.07,-144.59,TRADE
SA1,2020/02/02 12:00:00,831.35,-75.51,TRADE
SA1,2020/02/02 12:30:00,806.35,-250,TRADE
SA1,2020/02/02 13:00:00,795.73,-400,TRADE
SA1,2020/02/02 13:30:00,774.28,-67.50,TRADE
SA1,2020/02/02 14:00:00,719.94,-365.64,TRADE
SA1,2020/02/02 14:30:00,717.65,-517.51,TRADE
SA1,2020/02/02 15:00:00,726.17,-171.82,TRADE
